id,QID,titleSlug,title,url,topic,tags,difficulty,type,prompt,examples_json,constraints,function_signature,choices_json,answer,explanation
lc-0001,1,two-sum,Two Sum,https://leetcode.com/problems/two-sum/,hashmap,"arrays,two_pointers,hashmap",easy,coding,,,,,,,
lc-0002,2,add-two-numbers,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,linked_list,"linked_list,math",medium,coding,,,,,,,
lc-0003,3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,strings,"strings,sliding_window",medium,coding,,,,,,,
lc-0004,4,median-of-two-sorted-arrays,Median Of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,binary_search,"arrays,binary_search",hard,coding,,,,,,,
lc-0005,5,longest-palindromic-substring,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,strings,"strings,sliding_window",medium,coding,,,,,,,
lc-0006,6,zigzag-conversion,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,unknown,,medium,coding,,,,,,,
lc-0007,7,reverse-integer,Reverse Integer,https://leetcode.com/problems/reverse-integer/,unknown,,medium,coding,,,,,,,
lc-0008,8,string-to-integer-atoi,String To Integer Atoi,https://leetcode.com/problems/string-to-integer-atoi/,strings,strings,medium,coding,,,,,,,
lc-0009,9,palindrome-number,Palindrome Number,https://leetcode.com/problems/palindrome-number/,strings,strings,easy,coding,,,,,,,
lc-0010,10,regular-expression-matching,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,unknown,,hard,coding,,,,,,,
lc-0011,11,container-with-most-water,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,unknown,,medium,coding,,,,,,,
lc-0012,12,integer-to-roman,Integer To Roman,https://leetcode.com/problems/integer-to-roman/,unknown,,medium,coding,,,,,,,
lc-0013,13,roman-to-integer,Roman To Integer,https://leetcode.com/problems/roman-to-integer/,unknown,,easy,coding,,,,,,,
lc-0014,14,longest-common-prefix,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,unknown,,easy,coding,,,,,,,
lc-0015,15,3sum,3sum,https://leetcode.com/problems/3sum/,unknown,,medium,coding,,,,,,,
lc-0016,16,3sum-closest,3sum Closest,https://leetcode.com/problems/3sum-closest/,unknown,,medium,coding,,,,,,,
lc-0017,17,letter-combinations-of-a-phone-number,Letter Combinations Of A Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,unknown,,medium,coding,,,,,,,
lc-0018,18,4sum,4sum,https://leetcode.com/problems/4sum/,unknown,,unknown,coding,,,,,,,
lc-0019,19,remove-nth-node-from-end-of-list,Remove Nth Node From End Of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,unknown,,medium,coding,,,,,,,
lc-0020,20,valid-parentheses,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,unknown,,easy,coding,,,,,,,
lc-0021,21,merge-two-sorted-lists,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,linked_list,linked_list,easy,coding,,,,,,,
lc-0022,22,generate-parentheses,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,unknown,,medium,coding,,,,,,,
lc-0023,23,merge-k-sorted-lists,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,linked_list,linked_list,hard,coding,,,,,,,
lc-0024,24,swap-nodes-in-pairs,Swap Nodes In Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,unknown,,unknown,coding,,,,,,,
lc-0025,25,reverse-nodes-in-k-group,Reverse Nodes In K Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,unknown,,unknown,coding,,,,,,,
lc-0026,26,remove-duplicates-from-sorted-array,Remove Duplicates From Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,arrays,arrays,easy,coding,,,,,,,
lc-0027,27,remove-element,Remove Element,https://leetcode.com/problems/remove-element/,unknown,,easy,coding,,,,,,,
lc-0028,28,find-the-index-of-the-first-occurrence-in-a-string,Find The Index Of The First Occurrence In A String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,strings,strings,easy,coding,,,,,,,
lc-0029,29,divide-two-integers,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,unknown,,unknown,coding,,,,,,,
lc-0030,30,substring-with-concatenation-of-all-words,Substring With Concatenation Of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,strings,"strings,sliding_window",unknown,coding,,,,,,,
lc-0031,31,next-permutation,Next Permutation,https://leetcode.com/problems/next-permutation/,unknown,,unknown,coding,,,,,,,
lc-0032,32,longest-valid-parentheses,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,unknown,,unknown,coding,,,,,,,
lc-0033,33,search-in-rotated-sorted-array,Search In Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,arrays,arrays,medium,coding,,,,,,,
lc-0034,34,find-first-and-last-position-of-element-in-sorted-array,Find First And Last Position Of Element In Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,arrays,arrays,unknown,coding,,,,,,,
lc-0035,35,search-insert-position,Search Insert Position,https://leetcode.com/problems/search-insert-position/,unknown,,easy,coding,,,,,,,
lc-0036,36,valid-sudoku,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,unknown,,medium,coding,,,,,,,
lc-0037,37,sudoku-solver,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,unknown,,hard,coding,,,,,,,
lc-0038,38,count-and-say,Count And Say,https://leetcode.com/problems/count-and-say/,unknown,,medium,coding,,,,,,,
lc-0039,39,combination-sum,Combination Sum,https://leetcode.com/problems/combination-sum/,unknown,,medium,coding,,,,,,,
lc-0040,40,combination-sum-ii,Combination Sum Ii,https://leetcode.com/problems/combination-sum-ii/,unknown,,medium,coding,,,,,,,
lc-0041,41,first-missing-positive,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,unknown,,unknown,coding,,,,,,,
lc-0042,42,trapping-rain-water,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,unknown,,hard,coding,,,,,,,
lc-0043,43,multiply-strings,Multiply Strings,https://leetcode.com/problems/multiply-strings/,strings,strings,unknown,coding,,,,,,,
lc-0044,44,wildcard-matching,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,unknown,,unknown,coding,,,,,,,
lc-0045,45,jump-game-ii,Jump Game Ii,https://leetcode.com/problems/jump-game-ii/,unknown,,unknown,coding,,,,,,,
lc-0046,46,permutations,Permutations,https://leetcode.com/problems/permutations/,unknown,,medium,coding,,,,,,,
lc-0047,47,permutations-ii,Permutations Ii,https://leetcode.com/problems/permutations-ii/,unknown,,medium,coding,,,,,,,
lc-0048,48,rotate-image,Rotate Image,https://leetcode.com/problems/rotate-image/,unknown,,medium,coding,,,,,,,
lc-0049,49,group-anagrams,Group Anagrams,https://leetcode.com/problems/group-anagrams/,strings,strings,medium,coding,,,,,,,
lc-0050,50,powx-n,Powx N,https://leetcode.com/problems/powx-n/,unknown,,medium,coding,,,,,,,
lc-0051,51,n-queens,N Queens,https://leetcode.com/problems/n-queens/,unknown,,hard,coding,,,,,,,
lc-0052,52,n-queens-ii,N Queens Ii,https://leetcode.com/problems/n-queens-ii/,unknown,,unknown,coding,,,,,,,
lc-0053,53,maximum-subarray,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,arrays,arrays,easy,coding,,,,,,,
lc-0054,54,spiral-matrix,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,arrays,"arrays,matrix",medium,coding,,,,,,,
lc-0055,55,jump-game,Jump Game,https://leetcode.com/problems/jump-game/,unknown,,medium,coding,,,,,,,
lc-0056,56,merge-intervals,Merge Intervals,https://leetcode.com/problems/merge-intervals/,unknown,,medium,coding,,,,,,,
lc-0057,57,insert-interval,Insert Interval,https://leetcode.com/problems/insert-interval/,unknown,,medium,coding,,,,,,,
lc-0058,58,length-of-last-word,Length Of Last Word,https://leetcode.com/problems/length-of-last-word/,unknown,,unknown,coding,,,,,,,
lc-0059,59,spiral-matrix-ii,Spiral Matrix Ii,https://leetcode.com/problems/spiral-matrix-ii/,arrays,"arrays,matrix",unknown,coding,,,,,,,
lc-0060,60,permutation-sequence,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,unknown,,unknown,coding,,,,,,,
lc-0061,61,rotate-list,Rotate List,https://leetcode.com/problems/rotate-list/,linked_list,linked_list,unknown,coding,,,,,,,
lc-0062,62,unique-paths,Unique Paths,https://leetcode.com/problems/unique-paths/,unknown,,medium,coding,,,,,,,
lc-0063,63,unique-paths-ii,Unique Paths Ii,https://leetcode.com/problems/unique-paths-ii/,unknown,,medium,coding,,,,,,,
lc-0064,64,minimum-path-sum,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,unknown,,unknown,coding,,,,,,,
lc-0065,65,valid-number,Valid Number,https://leetcode.com/problems/valid-number/,unknown,,unknown,coding,,,,,,,
lc-0066,66,plus-one,Plus One,https://leetcode.com/problems/plus-one/,unknown,,unknown,coding,,,,,,,
lc-0067,67,add-binary,Add Binary,https://leetcode.com/problems/add-binary/,unknown,,unknown,coding,,,,,,,
lc-0068,68,text-justification,Text Justification,https://leetcode.com/problems/text-justification/,unknown,,unknown,coding,,,,,,,
lc-0069,69,sqrtx,Sqrtx,https://leetcode.com/problems/sqrtx/,unknown,,unknown,coding,,,,,,,
lc-0070,70,climbing-stairs,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,unknown,,easy,coding,,,,,,,
lc-0071,71,simplify-path,Simplify Path,https://leetcode.com/problems/simplify-path/,unknown,,unknown,coding,,,,,,,
lc-0072,72,edit-distance,Edit Distance,https://leetcode.com/problems/edit-distance/,unknown,,hard,coding,,,,,,,
lc-0073,73,set-matrix-zeroes,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,arrays,"arrays,matrix",medium,coding,,,,,,,
lc-0074,74,search-a-2d-matrix,Search A 2d Matrix,https://leetcode.com/problems/search-a-2d-matrix/,arrays,"arrays,matrix",medium,coding,,,,,,,
lc-0075,75,sort-colors,Sort Colors,https://leetcode.com/problems/sort-colors/,unknown,,unknown,coding,,,,,,,
lc-0076,76,minimum-window-substring,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,strings,"strings,sliding_window",hard,coding,,,,,,,
lc-0077,77,combinations,Combinations,https://leetcode.com/problems/combinations/,unknown,,unknown,coding,,,,,,,
lc-0078,78,subsets,Subsets,https://leetcode.com/problems/subsets/,unknown,,unknown,coding,,,,,,,
lc-0079,79,word-search,Word Search,https://leetcode.com/problems/word-search/,unknown,,medium,coding,,,,,,,
lc-0080,80,remove-duplicates-from-sorted-array-ii,Remove Duplicates From Sorted Array Ii,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,arrays,arrays,unknown,coding,,,,,,,
lc-0081,81,search-in-rotated-sorted-array-ii,Search In Rotated Sorted Array Ii,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,arrays,arrays,medium,coding,,,,,,,
lc-0082,82,remove-duplicates-from-sorted-list-ii,Remove Duplicates From Sorted List Ii,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,unknown,,unknown,coding,,,,,,,
lc-0083,83,remove-duplicates-from-sorted-list,Remove Duplicates From Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,unknown,,unknown,coding,,,,,,,
lc-0084,84,largest-rectangle-in-histogram,Largest Rectangle In Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,unknown,,hard,coding,,,,,,,
lc-0085,85,maximal-rectangle,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,unknown,,unknown,coding,,,,,,,
lc-0086,86,partition-list,Partition List,https://leetcode.com/problems/partition-list/,unknown,,unknown,coding,,,,,,,
lc-0087,87,scramble-string,Scramble String,https://leetcode.com/problems/scramble-string/,strings,strings,unknown,coding,,,,,,,
lc-0088,88,merge-sorted-array,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,arrays,arrays,unknown,coding,,,,,,,
lc-0089,89,gray-code,Gray Code,https://leetcode.com/problems/gray-code/,unknown,,unknown,coding,,,,,,,
lc-0090,90,subsets-ii,Subsets Ii,https://leetcode.com/problems/subsets-ii/,unknown,,unknown,coding,,,,,,,
lc-0091,91,decode-ways,Decode Ways,https://leetcode.com/problems/decode-ways/,unknown,,medium,coding,,,,,,,
lc-0092,92,reverse-linked-list-ii,Reverse Linked List Ii,https://leetcode.com/problems/reverse-linked-list-ii/,linked_list,linked_list,unknown,coding,,,,,,,
lc-0093,93,restore-ip-addresses,Restore Ip Addresses,https://leetcode.com/problems/restore-ip-addresses/,unknown,,unknown,coding,,,,,,,
lc-0094,94,binary-tree-inorder-traversal,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,tree,tree,easy,coding,,,,,,,
lc-0095,95,unique-binary-search-trees-ii,Unique Binary Search Trees Ii,https://leetcode.com/problems/unique-binary-search-trees-ii/,tree,tree,unknown,coding,,,,,,,
lc-0096,96,unique-binary-search-trees,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,tree,tree,unknown,coding,,,,,,,
lc-0097,97,interleaving-string,Interleaving String,https://leetcode.com/problems/interleaving-string/,strings,strings,unknown,coding,,,,,,,
lc-0098,98,validate-binary-search-tree,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,tree,tree,medium,coding,,,,,,,
lc-0099,99,recover-binary-search-tree,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,tree,tree,unknown,coding,,,,,,,
lc-0100,100,same-tree,Same Tree,https://leetcode.com/problems/same-tree/,tree,tree,easy,coding,,,,,,,
lc-0101,101,symmetric-tree,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,tree,tree,easy,coding,,,,,,,
lc-0102,102,binary-tree-level-order-traversal,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,tree,tree,medium,coding,,,,,,,
lc-0103,103,binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,tree,tree,unknown,coding,,,,,,,
lc-0104,104,maximum-depth-of-binary-tree,Maximum Depth Of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,tree,tree,easy,coding,,,,,,,
